Fwy Name	District	County	City	Abs PM	Length	station_id	Name	Type	Sensor Type	HOV	Road Width	Lane Width	Inner Shoulder Width	Outer Shoulder Width	Design Speed Limit	Inner Median Type	Inner Median Width	Terrain	Population	Barrier	Surface	Roadway Use	Lat	Lng	Direction	Fwy
SR1-N	5	Monterey		324.261	0.831	500010031	OCEAN AVE HWY 1 NB VDS MLNB NB	Mainline		No	24 ft	12.0 ft	0 ft	4 ft	45 mph	Striped	0 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.554647	-121.910926	N	1
SR1-N	5	Monterey		324.954	0.62	500010041	CARPENTER RD HWY 1 NB VDS MLNB N	Mainline		No	20 ft	10.0 ft	0 ft	4 ft	45 mph	Striped	0 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.56444	-121.911973	N	1
SR1-N	5	Monterey		325.503	0.567	500010051	HWY 68 WEST AT HWY 1 NB VDS MLNB	Mainline		No	24 ft	12.0 ft	2 ft	8 ft	45 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	Lane Transitions	36.572329	-121.91279	N	1
SR1-N	5	Monterey	Monterey	326.088		500010061	MUNRAS RD HWY 1 NB VDS OFNB NB	Off Ramp		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.578638	-121.906469	N	1
SR1-N	5	Monterey	Monterey	326.089	0.622	500010062	MUNRAS RD HWY 1 NB VDS MLNB NB	Mainline		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.578647	-121.906454	N	1
SR1-N	5	Monterey	Monterey	326.746	0.695	500010073	MUNRAS RD HWY 1 SB VDS MLNB NB	Mainline		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.58253	-121.895893	N	1
SR1-N	5	Monterey	Monterey	326.747		500010074	MUNRAS RD HWY 1 SB VDS ONNB NB	On Ramp		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.582533	-121.895876	N	1
SR1-N	5	Monterey	Monterey	327.48	0.711	500010081	SOUTH OF AQUAJITO RD HWY 1 NB VD	Mainline		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.585654	-121.883694	N	1
SR1-N	5	Monterey	Monterey	328.168	0.539	500010093	SLOAT AVE HWY 1 SB VDS MLNB NB	Mainline	radars	No	36 ft	12.0 ft	5 ft	8 ft	70 mph	Separate Structure	33 ft	Rolling	Urbanized	Concrete Barrier	"Base & Surface >= 7"" Thick"		36.593216	-121.876628	N	1
SR1-N	5	Monterey	Monterey	328.169		500010094	SLOAT AVE HWY 1 SB VDS ONNB NB	On Ramp		No	36 ft	12.0 ft	5 ft	8 ft	70 mph	Separate Structure	33 ft	Rolling	Urbanized	Concrete Barrier	"Base & Surface >= 7"" Thick"		36.593221	-121.87661	N	1
SR1-N	5	Monterey	Monterey	328.558	0.339	500010101	SOUTH OF HWY 68 EAST AT HWY 1 NB	Mainline	radars	No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	22 ft	Rolling	Urbanized	Concrete Barrier	"Base & Surface >= 7"" Thick"		36.594593	-121.869761	N	1
SR1-N	5	Monterey	Monterey	328.847	0.261	500010112	NORTH OF HWY 68 EAST AT HWY 1 SB	Mainline		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	Concrete		36.59721	-121.86585	N	1
SR1-N	5	Monterey	Monterey	329.082	0.353	500010122	CASA VERDE WAY HWY 1 SB VDS MLNB	Mainline	radars	No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Separate Structure	46 ft	Rolling	Urbanized	No Barriers	Concrete		36.600023	-121.863401	N	1
SR1-N	5	Monterey	Monterey	329.083		500010123	CASA VERDE WAY HWY 1 SB VDS ONNB	On Ramp		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Separate Structure	46 ft	Rolling	Urbanized	No Barriers	Concrete		36.600035	-121.863391	N	1
SR1-N	5	Monterey	Seaside	329.555	0.496	500010133	NORTH OF DEL MONTE AVE HWY 1 SB	Mainline	radars	No	36 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"		36.606429	-121.860759	N	1
SR1-N	5	Monterey	Sand City	330.074		500010141	CANYON DEL REY BLVD AT HWY 1 NB	On Ramp		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Separate Structure	46 ft	Rolling	Urbanized	No Barriers	Concrete		36.611927	-121.855044	N	1
SR1-N	5	Monterey	Sand City	330.075	0.719	500010142	CANYON DEL REY BLVD AT HWY 1 NB	Mainline	radars	No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Separate Structure	46 ft	Rolling	Urbanized	No Barriers	Concrete		36.611936	-121.85503	N	1
SR1-N	5	Monterey	Seaside	330.993		500010151	SOUTH OF FREMONT BLVD AT HWY 1 N	Off Ramp		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	Concrete		36.622405	-121.845191	N	1
SR1-N	5	Monterey	Seaside	330.994	0.749	500010152	SOUTH OF FREMONT BLVD AT HWY 1 N	Mainline	radars	No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	Concrete		36.622416	-121.845181	N	1
SR1-N	5	Monterey		331.575	0.559	500011012	NORTH OF FREMONT HWY 1 SB VDS ML	Mainline		No	36 ft	12.0 ft	6 ft	11 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	No Barriers	Concrete	No Special Features	36.628179	-121.838021	N	1
SR1-N	5	Monterey		332.112	0.858	500011021	MIDPOINT HWY 1 NB VDS MLNB NB	Mainline	radars	No	36 ft	12.0 ft	9 ft	11 ft	70 mph	Separate Grades	99 ft	Rolling	Urbanized	No Barriers	Concrete	No Special Features	36.634425	-121.832281	N	1
SR1-N	5	Monterey		333.29		500011031	LIGHTFIGHTER DR HWY 1 NB VDS OFN	Off Ramp		No	36 ft	12.0 ft	9 ft	11 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	Three Beam Barrier	Concrete	No Special Features	36.64589	-121.816689	N	1
SR1-N	5	Monterey		333.291	1.357	500011032	LIGHTFIGHTER DR HWY 1 NB VDS MLN	Mainline	radars	No	36 ft	12.0 ft	9 ft	11 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	Three Beam Barrier	Concrete	No Special Features	36.645899	-121.816675	N	1
SR1-N	5	Monterey		334.827		500011041	IMJIN PARKWAY HWY 1 NB VDS OFNB	Off Ramp		No	36 ft	12.0 ft	9 ft	11 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	Three Beam Barrier	Concrete	No Special Features	36.667246	-121.814121	N	1
SR1-N	5	Monterey		334.828	1.105	500011042	IMJIN PARKWAY HWY 1 NB VDS MLNB	Mainline	radars	No	36 ft	12.0 ft	9 ft	11 ft	70 mph	Unpaved	46 ft	Rolling	Urbanized	Three Beam Barrier	Concrete	No Special Features	36.667259	-121.814114	N	1
SR1-N	5	Monterey		335.502		500011051	DEL MONTE BLVD SOUTH HWY 1 NB VD	Off Ramp		No	36 ft	12.0 ft	6 ft	13 ft	70 mph	Unpaved	65 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.675811	-121.808283	N	1
SR1-N	5	Monterey		335.503	1.19	500011052	DEL MONTE BLVD SOUTH HWY 1 NB VD	Mainline	radars	No	36 ft	12.0 ft	6 ft	13 ft	70 mph	Unpaved	65 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.675824	-121.808276	N	1
SR1-N	5	Monterey	Marina	337.209	1.793	500011063	RESERVATION RD HWY 1 SB VDS MLNB	Mainline	radars	No	24 ft	12.0 ft	5 ft	13 ft	70 mph	Unpaved	94 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.699496	-121.803031	N	1
SR1-N	5	Monterey	Marina	337.21		500011064	RESERVATION RD HWY 1 SB VDS ONNB	On Ramp		No	24 ft	12.0 ft	5 ft	13 ft	70 mph	Unpaved	94 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.699509	-121.803024	N	1
SR1-N	5	Monterey		339.088		500011071	DEL MONTE BLVD NORTH HWY 1 NB VD	On Ramp		No	24 ft	12.0 ft	5 ft	13 ft	70 mph	Unpaved	94 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.724227	-121.790037	N	1
SR1-N	5	Monterey		339.089	1.832	500011072	DEL MONTE BLVD NORTH HWY 1 NB VD	Mainline	radars	No	24 ft	12.0 ft	5 ft	13 ft	70 mph	Unpaved	94 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.724239	-121.790028	N	1
SR1-N	5	Monterey		340.873		500011081	NASHUA RD HWY 1 NB VDS ONNB NB	On Ramp		No	24 ft	12.0 ft	5 ft	13 ft	70 mph	Unpaved	94 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.745281	-121.771383	N	1
SR1-N	5	Monterey		340.874	1.079	500011082	NASHUA RD HWY 1 NB VDS MLNB NB	Mainline		No	24 ft	12.0 ft	5 ft	13 ft	70 mph	Unpaved	94 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.745293	-121.771374	N	1
SR1-N	5	Monterey		341.247		500011091	HWY 156 AT HWY 1 NB VDS OFNB NB	Off Ramp		No	24 ft	12.0 ft	5 ft	13 ft	70 mph	Unpaved	99 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.74982	-121.767689	N	1
SR1-N	5	Monterey		341.248	0.891	500011092	HWY 156 AT HWY 1 NB VDS MLNB NB	Mainline	radars	No	24 ft	12.0 ft	5 ft	13 ft	70 mph	Unpaved	99 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.749832	-121.767679	N	1
SR1-N	5	Monterey		342.655		500011111	HWY 183 AT HWY 1 NB VDS OFNB NB	Off Ramp		No	12 ft	12.0 ft	0 ft	5 ft	70 mph	Striped	0 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.770203	-121.765218	N	1
SR1-N	5	Monterey		342.656	1.121	500011112	HWY 183 AT HWY 1 NB VDS MLNB NB	Mainline	radars	No	12 ft	12.0 ft	0 ft	5 ft	70 mph	Striped	0 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.77022	-121.765221	N	1
SR1-N	5	Monterey		343.491	0.811	500011121	MOLERA RD HWY 1 NB VDS MLNB NB	Mainline	radars	No	12 ft	12.0 ft	0 ft	4 ft	70 mph	Striped	0 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"		36.780229	-121.777463	N	1
SR1-N	5	Monterey		343.492		500011122	MOLERA RD HWY 1 NB VDS OFNB NB	Off Ramp		No	12 ft	12.0 ft	0 ft	4 ft	70 mph	Striped	0 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"		36.780241	-121.777478	N	1
SR1-N	5	Monterey		344.28	0.712	500011131	POTRERO RD HWY 1 NB VDS MLNB NB	Mainline		No	12 ft	12.0 ft	0 ft	4 ft	70 mph	Striped	0 ft	Flat	Rural	No Barriers	"Base & Surface >= 7"" Thick"		36.790626	-121.783337	N	1
SR1-N	5	Monterey		344.281		500011132	POTRERO RD HWY 1 NB VDS OFNB NB	Off Ramp		No	12 ft	12.0 ft	0 ft	4 ft	70 mph	Striped	0 ft	Flat	Rural	No Barriers	"Base & Surface >= 7"" Thick"		36.79064	-121.783342	N	1
SR1-N	5	Monterey		344.916		500011142	MOSS LANDING RD HWY 1 SB VDS ONN	On Ramp		No	12 ft	12.0 ft	0 ft	4 ft	70 mph	Striped	0 ft	Flat	Rural	No Barriers	"Base & Surface >= 7"" Thick"		36.799888	-121.783158	N	1
SR1-N	5	Monterey		344.917	0.621	500011143	MOSS LANDING RD HWY 1 SB VDS MLN	Mainline	radars	No	12 ft	12.0 ft	0 ft	4 ft	70 mph	Striped	0 ft	Flat	Rural	No Barriers	"Base & Surface >= 7"" Thick"		36.799902	-121.78316	N	1
SR1-N	5	Monterey		345.523	1.191	500011151	ELKHORN SLOUGH HWY 1 NB VDS MLNB	Mainline		No	12 ft	12.0 ft	0 ft	4 ft	70 mph	Striped	0 ft	Flat	Rural	No Barriers	"Base & Surface >= 7"" Thick"		36.808654	-121.784129	N	1
SR1-N	5	Monterey		347.299	1.424	500011212	STRUVE RD HWY 1 SB VDS MLNB NB	Mainline		No	12 ft	12.0 ft	0 ft	4 ft	60 mph	Striped	0 ft	Flat	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.828897	-121.77196	N	1
SR1-N	5	Monterey		348.371	1.423	500011222	NORTH OF SPRINGFIELD RD HWY 1 SB	Mainline		No	12 ft	12.0 ft	0 ft	4 ft	60 mph	Striped	0 ft	Flat	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.844294	-121.771	N	1
SR1-N	5	Monterey		350.145	1.139	500011233	SALINAS RD HWY 1 SB VDS MLNB NB	Mainline		No	12 ft	12.0 ft	0 ft	4 ft	60 mph	Striped	0 ft	Flat	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.869807	-121.770107	N	1
SR1-N	5	Monterey		350.649	0.803	500011241	TRAFTON RD HWY 1 NB VDS MLNB NB	Mainline		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Flat	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.87698	-121.77097	N	1
SR1-N	5	Santa Cruz	Watsonville	352.014		500013011	HWY 129 AT HWY 1 NB VDS OFNB NB	Off Ramp		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	33 ft	Flat	Rural	Guardrail in Median Both Roadway	"Base & Surface >= 7"" Thick"	No Special Features	36.89652	-121.775302	N	1
SR1-N	5	Santa Cruz	Watsonville	352.015	1.07	500013012	HWY 129 AT HWY 1 NB VDS MLNB NB	Mainline		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	33 ft	Flat	Rural	Guardrail in Median Both Roadway	"Base & Surface >= 7"" Thick"	No Special Features	36.896533	-121.775311	N	1
SR1-N	5	Santa Cruz		352.525	0.773	500013023	HWY 129 AT HWY 1 SB VDS MLNB NB	Mainline		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Flat	Urbanized	Guardrail in Median Both Roadway	"Base & Surface >= 7"" Thick"	No Special Features	36.903101	-121.779519	N	1
SR1-N	5	Santa Cruz		353.561	1.005	500013031	HARKINS SLOUGH RD HWY 1 NB VDS M	Mainline		No	24 ft	12.0 ft	5 ft	8 ft	70 mph	Unpaved	46 ft	Flat	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.916454	-121.788076	N	1
SR1-N	5	Santa Cruz		354.535	1.049	500013043	HWY 152 AT HWY 1 SB VDS MLNB NB	Mainline		No	36 ft	12.0 ft	5 ft	10 ft	70 mph	Unpaved	54 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.926518	-121.800066	N	1
SR1-N	5	Santa Cruz		355.659	0.962	500013052	BUENA VISTA DR HWY 1 SB VDS MLNB	Mainline		No	36 ft	12.0 ft	5 ft	10 ft	70 mph	Unpaved	54 ft	Rolling	Urbanized	No Barriers	Bridge Deck	No Special Features	36.933761	-121.817739	N	1
SR1-N	5	Santa Cruz		356.459	1.106	500013062	MIDPOINT HWY 1 SB VDS MLNB NB	Mainline		No	36 ft	12.0 ft	5 ft	10 ft	70 mph	Unpaved	54 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.937899	-121.8305	N	1
SR1-N	5	Santa Cruz		357.871	1.143	500013071	MAR MONTE AVE AT HWY 1 NB VDS ML	Mainline		No	24 ft	12.0 ft	5 ft	10 ft	70 mph	Unpaved	90 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.950319	-121.851566	N	1
SR1-N	5	Santa Cruz		358.744	0.642	500013081	MAR MONTE AVE AT HWY 1 NB VDS ML	Mainline		No	24 ft	12.0 ft	5 ft	10 ft	70 mph	Unpaved	90 ft	Rolling	Rural	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.959977	-121.861657	N	1
SR1-N	5	Santa Cruz		359.155	0.353	500013091	LARKIN VALLEY RD HWY 1 NB VDS ML	Mainline		No	24 ft	12.0 ft	5 ft	10 ft	70 mph	Unpaved	70 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.964522	-121.866408	N	1
SR1-N	5	Santa Cruz		359.45	0.443	500013101	FREEDOM BLVD HWY 1 NB VDS MLNB N	Mainline		No	23 ft	11.5 ft	1 ft	8 ft	70 mph	Unpaved	70 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	36.967826	-121.869774	N	1
SR1-N	5	Santa Cruz		360.042	0.452	500013112	FREEDOM BLVD AT HWY 1 SB VDS MLN	Mainline	radars	No	24 ft	12.0 ft	5 ft	8 ft	65 mph	Unpaved	36 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.972531	-121.878642	N	1
SR1-N	5	Santa Cruz		360.353		500013121	RIO DEL MAR BLVD AT HWY 1 NB VDS	Off Ramp		No	24 ft	12.0 ft	5 ft	8 ft	65 mph	Unpaved	36 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.974342	-121.883855	N	1
SR1-N	5	Santa Cruz		360.354	0.426	500013122	RIO DEL MAR BLVD AT HWY 1 NB VDS	Mainline		No	24 ft	12.0 ft	5 ft	8 ft	65 mph	Unpaved	36 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.974348	-121.883872	N	1
SR1-N	5	Santa Cruz		360.894	0.652	500013132	RIO DEL MAR BLVD AT HWY 1 SB VDS	Mainline	radars	No	23 ft	11.5 ft	5 ft	8 ft	65 mph	Paved - No Roadway Use	12 ft	Rolling	Urbanized	Concrete Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.975268	-121.893445	N	1
SR1-N	5	Santa Cruz		361.659	0.609	500013141	STATE PARK DR AT HWY 1 NB VDS ML	Mainline		No	24 ft	12.0 ft	5 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.976345	-121.907001	N	1
SR1-N	5	Santa Cruz		362.114	0.565	500013152	STATE PARK DR AT HWY 1 SB VDS ML	Mainline	radars	No	24 ft	12.0 ft	5 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.979956	-121.91393	N	1
SR1-N	5	Santa Cruz		362.789	0.553	500014011	PARK AVE NEXT EXIT SIGN HWY 1 NB	Mainline		No	24 ft	12.0 ft	5 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.98308	-121.925417	N	1
SR1-N	5	Santa Cruz		363.22	0.445	500014021	PARK AVE AT HWY 1 NB VDS MLNB NB	Mainline	radars	No	24 ft	12.0 ft	5 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.984028	-121.933172	N	1
SR1-N	5	Santa Cruz	Capitola	363.679	0.576	500014032	PARK AVE AT HWY 1 SB VDS MLNB NB	Mainline	radars	No	24 ft	12.0 ft	4 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"		36.98406	-121.941535	N	1
SR1-N	5	Santa Cruz	Capitola	364.373	0.471	500014041	BAY AVE / PORTER ST AT HWY 1 NB	Mainline	radars	No	24 ft	12.0 ft	5 ft	8 ft	65 mph	Paved - No Roadway Use	12 ft	Rolling	Urbanized	Concrete Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.983544	-121.954147	N	1
SR1-N	5	Santa Cruz		364.621	0.291	500014053	BAY AVE / PORTER ST AT HWY 1 SB	Mainline	radars	No	36 ft	12.0 ft	2 ft	8 ft	65 mph	Paved - No Roadway Use	6 ft	Rolling	Urbanized	Concrete Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.983147	-121.958547	N	1
SR1-N	5	Santa Cruz		364.622		500014054	BAY AVE / PORTER ST AT HWY 1 SB	On Ramp		No	36 ft	12.0 ft	2 ft	8 ft	65 mph	Paved - No Roadway Use	6 ft	Rolling	Urbanized	Concrete Barrier	"Base & Surface >= 7"" Thick"	No Special Features	36.983145	-121.958564	N	1
SR1-N	5	Santa Cruz		364.956	0.324	500014063	41ST ST OC AT HWY 1 SB VDS MLNB	Mainline	radars	No	23 ft	11.5 ft	0 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Metal Beam Barrier	"Base & Surface >= 7"" Thick"		36.982848	-121.964293	N	1
SR1-N	5	Santa Cruz		364.957		500014064	41ST ST OC AT HWY 1 SB VDS ONNB	On Ramp		No	23 ft	11.5 ft	0 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Metal Beam Barrier	"Base & Surface >= 7"" Thick"		36.982849	-121.964311	N	1
SR1-N	5	Santa Cruz		365.27	0.397	500014072	41ST ST EXIT AT HWY 1 SB VDS MLN	Mainline	radars	No	24 ft	12.0 ft	4 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"		36.983207	-121.969927	N	1
SR1-N	5	Santa Cruz		365.75	0.536	500014081	SOQUEL DR NEXT EXIT SIGN HWY 1 N	Mainline	radars	No	24 ft	12.0 ft	4 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"		36.985169	-121.978252	N	1
SR1-N	5	Santa Cruz	Santa Cruz	366.342	0.803	500014092	SOQUEL AVE AT HWY 1 SB VDS MLNB	Mainline	radars	No	23 ft	11.5 ft	4 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Metal Beam Barrier	"Base & Surface >= 7"" Thick"		36.987544	-121.988535	N	1
SR1-N	5	Santa Cruz	Santa Cruz	366.343		500014093	SOQUEL AVE AT HWY 1 SB VDS ONNB	On Ramp		No	23 ft	11.5 ft	4 ft	2 ft	65 mph	Unpaved	14 ft	Rolling	Urbanized	Metal Beam Barrier	"Base & Surface >= 7"" Thick"		36.987546	-121.988553	N	1
SR1-N	5	Santa Cruz	Santa Cruz	366.923		500014101	EAST OF MORRISSEY BLVD AT HWY 1	Off Ramp	radars	No	24 ft	12.0 ft	4 ft	8 ft	65 mph	Unpaved	36 ft	Rolling	Urbanized	Three Beam Barrier	"Base & Surface >= 7"" Thick"		36.988313	-121.998987	N	1
SR1-N	5	Santa Cruz	Santa Cruz	367.355	0.663	500014111	WEST OF MORRISSEY BLVD AT HWY 1	Mainline	radars	No	24 ft	12.0 ft	6 ft	8 ft	65 mph	Unpaved	22 ft	Rolling	Urbanized	Metal Beam Barrier	"Base & Surface >= 7"" Thick"		36.988447	-122.006802	N	1
