event_sample_id,split_group_id,station_id,target_class,split
INCIDENT__222224-webtirf__F3FWY003,GROUP__F3FWY003__0007,F3FWY003,OTHER_DISRUPTION,test
INCIDENT__222334-webtirf__7274,GROUP__7274__0003,7274,OTHER_DISRUPTION,train
INCIDENT__222366-webtirf__51235,GROUP__51235__0007,51235,OTHER_DISRUPTION,train
INCIDENT__222370.0-webtirf__33014,GROUP__33014__0004,33014,OTHER_DISRUPTION,test
INCIDENT__222476-webtirf__F3FWY003,GROUP__F3FWY003__0008,F3FWY003,OTHER_DISRUPTION,test
INCIDENT__222481-webtirf__9658,GROUP__9658__0001,9658,OTHER_DISRUPTION,train
INCIDENT__222495-webtirf__7112,GROUP__7112__0006,7112,OTHER_DISRUPTION,train
INCIDENT__222498-webtirf__51235,GROUP__51235__0008,51235,OTHER_DISRUPTION,train
INCIDENT__222559-webtirf__7132,GROUP__7132__0005,7132,ACCIDENT,validation
INCIDENT__222566-webtirf__F3FWY003,GROUP__F3FWY003__0009,F3FWY003,ACCIDENT,test
INCIDENT__222574-webtirf__50240,GROUP__50240__0004,50240,OTHER_DISRUPTION,validation
INCIDENT__222623-webtirf__7112,GROUP__7112__0007,7112,ACCIDENT,train
INCIDENT__222632-webtirf__7274,GROUP__7274__0004,7274,ACCIDENT,train
INCIDENT__222661-webtirf__53003,GROUP__53003__0003,53003,OTHER_DISRUPTION,train
INCIDENT__222684-webtirf__7251,GROUP__7251__0005,7251,OTHER_DISRUPTION,train
INCIDENT__222696-webtirf__68025,GROUP__68025__0005,68025,OTHER_DISRUPTION,train
INCIDENT__222700.0-webtirf__47024,GROUP__47024__0002,47024,OTHER_DISRUPTION,train
INCIDENT__222702-webtirf__7168,GROUP__7168__0002,7168,ACCIDENT,train
INCIDENT__222749-webtirf__74230,GROUP__74230__0002,74230,OTHER_DISRUPTION,test
INCIDENT__222759-webtirf__7120,GROUP__7120__0010,7120,OTHER_DISRUPTION,train
INCIDENT__222759-webtirf__7121,GROUP__7121__0010,7121,OTHER_DISRUPTION,validation
INCIDENT__222771-webtirf__7162,GROUP__7162__0001,7162,OTHER_DISRUPTION,validation
INCIDENT__222782-webtirf__7162,GROUP__7162__0001,7162,OTHER_DISRUPTION,validation
INCIDENT__222788-webtirf__7119-PR,GROUP__7119-PR__0002,7119-PR,ACCIDENT,validation
INCIDENT__222821-webtirf__7153,GROUP__7153__0003,7153,OTHER_DISRUPTION,train
INCIDENT__222835-webtirf__7251,GROUP__7251__0006,7251,OTHER_DISRUPTION,train
INCIDENT__222837-webtirf__7132,GROUP__7132__0006,7132,OTHER_DISRUPTION,validation
INCIDENT__222901-webtirf__7251,GROUP__7251__0007,7251,OTHER_DISRUPTION,train
INCIDENT__222916-webtirf__53004,GROUP__53004__0005,53004,ACCIDENT,train
INCIDENT__222923-webtirf__7274,GROUP__7274__0005,7274,OTHER_DISRUPTION,train
INCIDENT__222953-webtirf__9849,GROUP__9849__0001,9849,ACCIDENT,test
INCIDENT__223042-webtirf__7179,GROUP__7179__0008,7179,OTHER_DISRUPTION,train
INCIDENT__223046-webtirf__7248,GROUP__7248__0008,7248,ACCIDENT,train
INCIDENT__223059-webtirf__7132,GROUP__7132__0007,7132,OTHER_DISRUPTION,validation
INCIDENT__223065-webtirf__10011,GROUP__10011__0005,10011,ACCIDENT,train
INCIDENT__223065-webtirf__7139,GROUP__7139__0005,7139,ACCIDENT,train
INCIDENT__223086-webtirf__7251,GROUP__7251__0008,7251,OTHER_DISRUPTION,train
INCIDENT__223110.0-webtirf__7184,GROUP__7184__0006,7184,OTHER_DISRUPTION,train
INCIDENT__223149-webtirf__7168,GROUP__7168__0003,7168,OTHER_DISRUPTION,train
INCIDENT__223180.0-webtirf__7153,GROUP__7153__0004,7153,ACCIDENT,train
INCIDENT__223187-webtirf__7274,GROUP__7274__0006,7274,ACCIDENT,train
INCIDENT__223196-webtirf__51235,GROUP__51235__0009,51235,OTHER_DISRUPTION,train
INCIDENT__223224-webtirf__7162,GROUP__7162__0002,7162,ACCIDENT,validation
INCIDENT__223225-webtirf__68025,GROUP__68025__0006,68025,OTHER_DISRUPTION,train
INCIDENT__223254-webtirf__7126,GROUP__7126__0004,7126,OTHER_DISRUPTION,train
INCIDENT__223282-webtirf__34016,GROUP__34016__0002,34016,OTHER_DISRUPTION,train
INCIDENT__223290.0-webtirf__9849,GROUP__9849__0002,9849,ACCIDENT,test
INCIDENT__223304-webtirf__7164,GROUP__7164__0003,7164,OTHER_DISRUPTION,train
INCIDENT__223315-webtirf__7274,GROUP__7274__0007,7274,OTHER_DISRUPTION,train
INCIDENT__223348-webtirf__10011,GROUP__10011__0006,10011,OTHER_DISRUPTION,train
INCIDENT__223348-webtirf__7139,GROUP__7139__0006,7139,OTHER_DISRUPTION,train
INCIDENT__223386-webtirf__7163,GROUP__7163__0004,7163,OTHER_DISRUPTION,train
INCIDENT__223424-webtirf__7184,GROUP__7184__0007,7184,OTHER_DISRUPTION,train
INCIDENT__223445-webtirf__7168,GROUP__7168__0004,7168,OTHER_DISRUPTION,train
INCIDENT__223457-webtirf__7120,GROUP__7120__0011,7120,OTHER_DISRUPTION,train
INCIDENT__223457-webtirf__7121,GROUP__7121__0011,7121,OTHER_DISRUPTION,validation
INCIDENT__223483-webtirf__7120,GROUP__7120__0012,7120,OTHER_DISRUPTION,train
INCIDENT__223483-webtirf__7121,GROUP__7121__0012,7121,OTHER_DISRUPTION,validation
INCIDENT__223485-webtirf__9658,GROUP__9658__0002,9658,OTHER_DISRUPTION,train
INCIDENT__223489-webtirf__50240,GROUP__50240__0006,50240,ACCIDENT,validation
INCIDENT__223498-webtirf__7179,GROUP__7179__0009,7179,OTHER_DISRUPTION,train
INCIDENT__223506-webtirf__47024,GROUP__47024__0003,47024,OTHER_DISRUPTION,train
INCIDENT__223517-webtirf__7168,GROUP__7168__0005,7168,OTHER_DISRUPTION,train
INCIDENT__223572-webtirf__F3FWY003,GROUP__F3FWY003__0010,F3FWY003,OTHER_DISRUPTION,test
INCIDENT__223583-webtirf__50240,GROUP__50240__0007,50240,OTHER_DISRUPTION,validation
INCIDENT__223634-webtirf__9827,GROUP__9827__0002,9827,OTHER_DISRUPTION,train
INCIDENT__223640.0-webtirf__7184,GROUP__7184__0008,7184,ACCIDENT,train
INCIDENT__223653-webtirf__7274,GROUP__7274__0008,7274,ACCIDENT,train
INCIDENT__223658-webtirf__22001,GROUP__22001__0002,22001,OTHER_DISRUPTION,test
INCIDENT__223661-webtirf__7132,GROUP__7132__0008,7132,ACCIDENT,validation
INCIDENT__223704-webtirf__7161,GROUP__7161__0003,7161,ACCIDENT,validation
INCIDENT__223705-webtirf__51235,GROUP__51235__0010,51235,OTHER_DISRUPTION,train
INCIDENT__223756-webtirf__7119-PR,GROUP__7119-PR__0003,7119-PR,ACCIDENT,validation
INCIDENT__223809-webtirf__7179,GROUP__7179__0010,7179,OTHER_DISRUPTION,train
INCIDENT__223838-webtirf__9658,GROUP__9658__0003,9658,ACCIDENT,train
INCIDENT__223914-webtirf__68025,GROUP__68025__0007,68025,ACCIDENT,train
INCIDENT__223917-webtirf__7179,GROUP__7179__0011,7179,ACCIDENT,train
INCIDENT__223947-webtirf__7164,GROUP__7164__0004,7164,ACCIDENT,train
INCIDENT__224000.0-webtirf__7112,GROUP__7112__0008,7112,OTHER_DISRUPTION,train
INCIDENT__224039-webtirf__7168,GROUP__7168__0006,7168,OTHER_DISRUPTION,train
INCIDENT__224060.0-webtirf__7275,GROUP__7275__0001,7275,ACCIDENT,train
INCIDENT__224121-webtirf__34016,GROUP__34016__0003,34016,OTHER_DISRUPTION,train
INCIDENT__224168-webtirf__22001,GROUP__22001__0003,22001,OTHER_DISRUPTION,test
INCIDENT__224244-webtirf__7112,GROUP__7112__0009,7112,OTHER_DISRUPTION,train
INCIDENT__224250.0-webtirf__F3FWY003,GROUP__F3FWY003__0011,F3FWY003,OTHER_DISRUPTION,test
INCIDENT__224259-webtirf__7184,GROUP__7184__0009,7184,OTHER_DISRUPTION,train
INCIDENT__224271-webtirf__7120,GROUP__7120__0013,7120,OTHER_DISRUPTION,train
INCIDENT__224271-webtirf__7121,GROUP__7121__0013,7121,OTHER_DISRUPTION,validation
INCIDENT__224287-webtirf__9658,GROUP__9658__0004,9658,OTHER_DISRUPTION,train
INCIDENT__224330.0-webtirf__7153,GROUP__7153__0005,7153,OTHER_DISRUPTION,train
INCIDENT__224331-webtirf__7112,GROUP__7112__0010,7112,ACCIDENT,train
INCIDENT__224346-webtirf__7184,GROUP__7184__0010,7184,OTHER_DISRUPTION,train
INCIDENT__224412-webtirf__9849,GROUP__9849__0003,9849,ACCIDENT,test
INCIDENT__224420.0-webtirf__7120,GROUP__7120__0014,7120,OTHER_DISRUPTION,train
INCIDENT__224420.0-webtirf__7121,GROUP__7121__0014,7121,OTHER_DISRUPTION,validation
INCIDENT__224428-webtirf__7184,GROUP__7184__0011,7184,OTHER_DISRUPTION,train
INCIDENT__224435-webtirf__F3FWY001,GROUP__F3FWY001__0002,F3FWY001,OTHER_DISRUPTION,train
INCIDENT__224446-webtirf__57025,GROUP__57025__0001,57025,OTHER_DISRUPTION,train
INCIDENT__224510.0-webtirf__7120,GROUP__7120__0015,7120,OTHER_DISRUPTION,train
INCIDENT__224510.0-webtirf__7121,GROUP__7121__0015,7121,OTHER_DISRUPTION,validation
INCIDENT__224541-webtirf__7120,GROUP__7120__0015,7120,OTHER_DISRUPTION,train
INCIDENT__224541-webtirf__7121,GROUP__7121__0015,7121,OTHER_DISRUPTION,validation
INCIDENT__224555-webtirf__7153,GROUP__7153__0006,7153,OTHER_DISRUPTION,train
INCIDENT__224568-webtirf__F3FWY004,GROUP__F3FWY004__0002,F3FWY004,ACCIDENT,train
INCIDENT__224588-webtirf__53004,GROUP__53004__0006,53004,OTHER_DISRUPTION,train
INCIDENT__224622-webtirf__7184,GROUP__7184__0012,7184,OTHER_DISRUPTION,train
INCIDENT__224638-webtirf__22001,GROUP__22001__0004,22001,OTHER_DISRUPTION,test
INCIDENT__224652-webtirf__50250,GROUP__50250__0002,50250,ACCIDENT,train
INCIDENT__224672-webtirf__55049,GROUP__55049__0002,55049,ACCIDENT,validation
INCIDENT__224690.0-webtirf__29005,GROUP__29005__0002,29005,OTHER_DISRUPTION,test
INCIDENT__224696-webtirf__23067,GROUP__23067__0005,23067,OTHER_DISRUPTION,train
INCIDENT__224707-webtirf__7132,GROUP__7132__0009,7132,OTHER_DISRUPTION,validation
INCIDENT__224709-webtirf__33014,GROUP__33014__0005,33014,OTHER_DISRUPTION,test
INCIDENT__224720.0-webtirf__7159,GROUP__7159__0002,7159,ACCIDENT,train
INCIDENT__224767-webtirf__7153,GROUP__7153__0007,7153,OTHER_DISRUPTION,train
INCIDENT__224789-webtirf__51235,GROUP__51235__0011,51235,ACCIDENT,train
INCIDENT__224798-webtirf__29005,GROUP__29005__0003,29005,ACCIDENT,test
INCIDENT__224842-webtirf__F3FWY003,GROUP__F3FWY003__0012,F3FWY003,OTHER_DISRUPTION,test
INCIDENT__224877-webtirf__53004,GROUP__53004__0007,53004,ACCIDENT,train
INCIDENT__224891-webtirf__7112,GROUP__7112__0011,7112,OTHER_DISRUPTION,train
INCIDENT__224898-webtirf__9849,GROUP__9849__0004,9849,ACCIDENT,test
INCIDENT__224950.0-webtirf__F3FWY003,GROUP__F3FWY003__0013,F3FWY003,OTHER_DISRUPTION,test
INCIDENT__224975-webtirf__7274,GROUP__7274__0009,7274,OTHER_DISRUPTION,train
INCIDENT__224991-webtirf__7161,GROUP__7161__0004,7161,ACCIDENT,validation
INCIDENT__225010.0-webtirf__7168,GROUP__7168__0007,7168,OTHER_DISRUPTION,train
INCIDENT__225018-webtirf__74228,GROUP__74228__0001,74228,ACCIDENT,train
INCIDENT__225019-webtirf__9658,GROUP__9658__0005,9658,OTHER_DISRUPTION,train
INCIDENT__225027-webtirf__7179,GROUP__7179__0012,7179,ACCIDENT,train
INCIDENT__225080.0-webtirf__7251,GROUP__7251__0009,7251,OTHER_DISRUPTION,train
INCIDENT__225084-webtirf__29005,GROUP__29005__0004,29005,OTHER_DISRUPTION,test
INCIDENT__225098-webtirf__7132,GROUP__7132__0010,7132,OTHER_DISRUPTION,validation
INCIDENT__225126-webtirf__47024,GROUP__47024__0004,47024,OTHER_DISRUPTION,train
INCIDENT__225221-webtirf__7270,GROUP__7270__0001,7270,OTHER_DISRUPTION,train
INCIDENT__225230.0-webtirf__33014,GROUP__33014__0006,33014,ACCIDENT,test
INCIDENT__225235-webtirf__51235,GROUP__51235__0012,51235,OTHER_DISRUPTION,train
INCIDENT__225238-webtirf__29005,GROUP__29005__0005,29005,OTHER_DISRUPTION,test
INCIDENT__225248-webtirf__T0288,GROUP__T0288__0001,T0288,OTHER_DISRUPTION,train
INCIDENT__225248-webtirf__T0289,GROUP__T0289__0001,T0289,OTHER_DISRUPTION,test
INCIDENT__225248-webtirf__T0290,GROUP__T0290__0001,T0290,OTHER_DISRUPTION,train
INCIDENT__225248-webtirf__T0479-PR,GROUP__T0479-PR__0001,T0479-PR,OTHER_DISRUPTION,train
INCIDENT__225280.0-webtirf__7163,GROUP__7163__0005,7163,OTHER_DISRUPTION,train
INCIDENT__225312-webtirf__53004,GROUP__53004__0008,53004,ACCIDENT,train
INCIDENT__225334-webtirf__34016,GROUP__34016__0004,34016,OTHER_DISRUPTION,train
INCIDENT__225340.0-webtirf__29005,GROUP__29005__0006,29005,OTHER_DISRUPTION,test
INCIDENT__225352-webtirf__29005,GROUP__29005__0006,29005,OTHER_DISRUPTION,test
INCIDENT__225390.0-webtirf__7179,GROUP__7179__0013,7179,OTHER_DISRUPTION,train
INCIDENT__225425-webtirf__7179,GROUP__7179__0014,7179,OTHER_DISRUPTION,train
INCIDENT__225464-webtirf__9836-PR,GROUP__9836-PR__0002,9836-PR,OTHER_DISRUPTION,train
INCIDENT__225498-webtirf__7248,GROUP__7248__0009,7248,OTHER_DISRUPTION,train
INCIDENT__225506-webtirf__9658,GROUP__9658__0006,9658,OTHER_DISRUPTION,train
INCIDENT__225542-webtirf__10011,GROUP__10011__0007,10011,OTHER_DISRUPTION,train
INCIDENT__225542-webtirf__7139,GROUP__7139__0007,7139,OTHER_DISRUPTION,train
INCIDENT__225556-webtirf__68025,GROUP__68025__0008,68025,ACCIDENT,train
INCIDENT__225624-webtirf__7120,GROUP__7120__0016,7120,ACCIDENT,train
INCIDENT__225624-webtirf__7121,GROUP__7121__0016,7121,ACCIDENT,validation
INCIDENT__225653-webtirf__9658,GROUP__9658__0007,9658,ACCIDENT,train
INCIDENT__225693-webtirf__50240,GROUP__50240__0008,50240,OTHER_DISRUPTION,validation
INCIDENT__225760.0-webtirf__50260,GROUP__50260__0002,50260,OTHER_DISRUPTION,train
INCIDENT__225769-webtirf__9658,GROUP__9658__0008,9658,ACCIDENT,train
INCIDENT__225780.0-webtirf__51235,GROUP__51235__0013,51235,ACCIDENT,train
INCIDENT__225805-webtirf__33014,GROUP__33014__0007,33014,ACCIDENT,test
INCIDENT__225812-webtirf__7153,GROUP__7153__0008,7153,ACCIDENT,train
INCIDENT__225822-webtirf__23067,GROUP__23067__0006,23067,OTHER_DISRUPTION,train
INCIDENT__225989-webtirf__34016,GROUP__34016__0005,34016,OTHER_DISRUPTION,train
