station_id,Abs PM_x,incident_id,Abs PM_y,dt,dis
7132,-33.953056,199066,151.137482,06/19/2024 10:25:09,0.114
F3FWY003,-33.560299,219585,151.192551,01/04/2025 17:22:19,0.238
7184,-33.772957,219914,151.135391,01/08/2025 15:50:20,0.284
7126,-34.035271,220298,151.113007,01/13/2025 07:48:22,0.739
F3FWY001,-33.694206,221020,151.121323,01/17/2025 17:14:14,0.075
7132,-33.953056,220993,151.137482,01/17/2025 15:54:36,0.259
7153,-33.8651123046875,221287,151.041610717773,01/19/2025 18:16:46,0.474
7112,-33.843338,218451,151.043411,12/17/2024 23:08:41,0.211
51235,-33.81551,221452,151.101105,01/21/2025 12:05:55,0.268
F3FWY004,-33.496265,221662,151.187408,01/23/2025 11:45:05,0.088
51235,-33.81551,222498,151.101105,01/31/2025 19:26:51,0.829
7251,-33.874916,221343,151.155319,01/20/2025 12:12:53,0.697
50240,-33.796436,219811,150.987595,01/07/2025 15:46:27,0.516
T0231,-33.838615,220876,151.143753,01/17/2025 00:43:09,0.065
7251,-33.874916,219692,151.155319,01/06/2025 15:47:37,0.554
7153,-33.8651123046875,221731,151.041610717773,01/24/2025 06:24:23,0.016
23067,-33.934475,221794,151.15831,01/24/2025 15:37:30,0.253
10011,-33.876652,215415,151.230606,11/26/2024 12:13:44,0.15
7139,-33.876884,215415,151.228683,11/26/2024 12:13:44,0.328
F3FWY003,-33.560299,219562,151.192551,01/04/2025 11:15:01,0.59
7163,-33.865181,219668,151.171997,01/06/2025 14:02:34,0.369
7120,-33.886311,219932,151.217911,01/08/2025 21:27:35,0.631
7121,-33.886032,219932,151.218079,01/08/2025 21:27:35,0.603
7248,-33.906151,220664,151.040207,01/15/2025 19:14:57,0.031
53004,-33.75317,221277,151.151077,01/19/2025 14:36:32,0.414
7112,-33.843338,221291,151.043411,01/19/2025 20:09:22,0.13
7163,-33.865181,100572,151.171997,09/18/2021 09:34:53,0.246
22001,-33.825577,219613,151.233261,01/05/2025 16:25:33,0.497
F3FWY003,-33.560299,219650,151.192551,01/06/2025 11:55:57,0.699
50260,-33.819763,220247,151.05188,01/12/2025 08:15:56,0.176
7126,-34.035271,220297,151.113007,01/13/2025 07:33:43,0.691
7161,-33.740406,220572,151.060989,01/15/2025 08:57:08,0.005
10011,-33.876652,221139,151.230606,01/18/2025 08:50:06,0.095
7139,-33.876884,221139,151.228683,01/18/2025 08:50:06,0.106
34016,-33.778187,221530,151.267136,01/22/2025 08:51:50,0.316
53004,-33.75317,222064,151.151077,01/28/2025 16:31:03,0.771
50250,-33.797592,220591,150.975433,01/15/2025 11:25:06,0.173
7248,-33.906151,220914,151.040207,01/17/2025 11:13:13,0.385
F3FWY003,-33.560299,221032,151.192551,01/17/2025 18:43:44,0.75
F3FWY005,-33.429348,221973,151.22467,01/27/2025 21:01:59,0.942
7120,-33.886311,222182,151.217911,01/29/2025 11:19:47,0.146
7121,-33.886032,222182,151.218079,01/29/2025 11:19:47,0.153
23067,-33.934475,219670,151.15831,01/06/2025 14:09:15,0.568
7184,-33.772957,220104,151.135391,01/10/2025 12:47:34,0.428
7184,-33.772957,220188,151.135391,01/11/2025 02:00:20,0.33
68025,-33.816696,220216,150.976623,01/11/2025 13:38:27,0.099
51235,-33.81551,220326,151.101105,01/13/2025 11:50:05,0.658
51235,-33.81551,220944,151.101105,01/17/2025 13:10:03,0.041
33014,-33.806141,219711,151.17952,01/06/2025 18:04:45,0.572
51235,-33.81551,219796,151.101105,01/07/2025 13:30:50,0.756
7184,-33.772957,220097,151.135391,01/10/2025 12:32:39,0.253
7184,-33.772957,220181,151.135391,01/11/2025 00:25:52,0.246
7274,-33.779202,221578,150.814102,01/22/2025 17:08:58,0.451
7120,-33.886311,216816,151.217911,12/04/2024 13:11:47,0.518
7121,-33.886032,216816,151.218079,12/04/2024 13:11:47,0.484
7161,-33.740406,221908,151.060989,01/26/2025 17:34:25,0.163
7248,-33.906151,222186,151.040207,01/29/2025 11:39:13,0.08
51235,-33.81551,222366,151.101105,01/31/2025 06:49:01,0.32
33014,-33.806141,219564,151.17952,01/04/2025 11:50:23,0.586
7184,-33.772957,220800,151.135391,01/16/2025 14:09:50,0.289
F3FWY001,-33.694206,220930,151.121323,01/17/2025 12:10:54,0.434
F3FWY003,-33.560299,221791,151.192551,01/24/2025 15:22:55,0.951
7179,-33.817272,219481,150.962784,01/02/2025 14:51:18,0.202
7248,-33.906151,219663,151.040207,01/06/2025 13:32:13,0.451
7179,-33.817272,219694,150.962784,01/06/2025 15:53:04,0.173
7164,-33.81562,219890,150.969238,01/08/2025 13:09:48,0.061
7179,-33.817272,220084,150.962784,01/10/2025 09:36:32,0.154
7120,-33.886311,221341,151.217911,01/20/2025 11:55:48,0.005
7121,-33.886032,221341,151.218079,01/20/2025 11:55:48,0.035
F3FWY002,-33.651676,221767,151.137741,01/24/2025 12:46:55,0.08
7184,-33.772957,221949,151.135391,01/27/2025 15:29:31,0.015
7120,-33.886311,222057,151.217911,01/28/2025 15:52:55,0.026
7121,-33.886032,222057,151.218079,01/28/2025 15:52:55,0.06
7132,-33.953056,199065,151.137482,06/19/2024 10:21:49,0.139
7123-PR,-33.769588,219601,150.768738,01/05/2025 06:10:07,0.004
74230,-33.724735,220088,151.086151,01/10/2025 10:58:25,0.914
53004,-33.75317,220110,151.151077,01/10/2025 13:11:45,0.48
50240,-33.796436,220217,150.987595,01/11/2025 13:48:40,0.521
50240,-33.796436,220489,150.987595,01/14/2025 15:08:27,0.528
53003,-33.729225,220938,151.122208,01/17/2025 12:48:14,0.217
7112,-33.843338,221218,151.043411,01/18/2025 18:22:10,0.544
7248,-33.906151,221362,151.040207,01/20/2025 13:40:26,0.528
7112,-33.843338,221520,151.043411,01/22/2025 06:51:12,0.066
7112,-33.843338,221825,151.043411,01/24/2025 21:27:53,0.095
F3FWY006,-33.395744,221850,151.297058,01/25/2025 10:28:30,0.768
F3FWY003,-33.560299,222224,151.192551,01/29/2025 15:53:47,0.791
22001,-33.825577,217948,151.233261,12/13/2024 13:15:24,0.64
9658,-33.79353,222481,151.018829,01/31/2025 16:40:44,0.502
F3FWY003,-33.560299,117257,151.192551,03/24/2022 13:40:57,0.824
7163,-33.865181,219761,151.171997,01/07/2025 09:37:05,0.627
23067,-33.934475,219807,151.15831,01/07/2025 15:34:41,0.214
F3FWY003,-33.560299,219947,151.192551,01/09/2025 00:45:58,0.113
68025,-33.816696,220025,150.976623,01/09/2025 15:00:15,0.695
7120,-33.886311,220081,151.217911,01/10/2025 09:19:44,0.072
7121,-33.886032,220081,151.218079,01/10/2025 09:19:44,0.045
23067,-33.934475,220191,151.15831,01/11/2025 03:09:38,0.495
7248,-33.906151,220889,151.040207,01/17/2025 08:44:46,0.528
68025,-33.816696,221220,150.976623,01/18/2025 18:24:51,0.535
10011,-33.876652,221259,151.230606,01/19/2025 10:58:18,0.259
7139,-33.876884,221259,151.228683,01/19/2025 10:58:18,0.108
7120,-33.886311,221573,151.217911,01/22/2025 16:28:17,0.022
7121,-33.886032,221573,151.218079,01/22/2025 16:28:17,0.017
7120,-33.886311,221572,151.217911,01/22/2025 16:28:04,0.236
7121,-33.886032,221572,151.218079,01/22/2025 16:28:04,0.235
55049,-33.729507,221952,151.30011,01/27/2025 16:41:47,0.821
7123-PR,-33.769588,222221,150.768738,01/29/2025 15:51:20,0.131
7112,-33.843338,222495,151.043411,01/31/2025 18:39:35,0.093
7132,-33.953056,98660,151.137482,08/12/2021 18:04:06,0.305
7163,-33.865181,98996,151.171997,08/21/2021 09:01:34,0.366
53004,-33.75317,220608,151.151077,01/15/2025 14:00:47,0.366
7251,-33.874916,219690,151.155319,01/06/2025 15:43:06,0.801
7120,-33.886311,221068,151.217911,01/17/2025 23:13:29,0.565
7121,-33.886032,221068,151.218079,01/17/2025 23:13:29,0.537
7132,-33.953056,221928,151.137482,01/27/2025 10:11:51,0.441
7159,-33.888157,221930,150.922974,01/27/2025 11:36:10,0.507
F3FWY003,-33.560299,219468,151.192551,01/02/2025 12:58:54,0.104
F3FWY003,-33.560299,219468,151.192551,01/02/2025 12:58:54,0.104
F3FWY003,-33.560299,219468,151.192551,01/02/2025 12:58:54,0.104
7251,-33.874916,219979,151.155319,01/09/2025 10:07:54,0.073
7179,-33.817272,220424,150.962784,01/14/2025 08:22:57,0.285
7120,-33.886311,220471,151.217911,01/14/2025 13:00:23,0.1
7121,-33.886032,220471,151.218079,01/14/2025 13:00:23,0.068
7120,-33.886311,220471,151.217911,01/14/2025 13:00:23,0.1
7121,-33.886032,220471,151.218079,01/14/2025 13:00:23,0.068
7163,-33.865181,221512,151.171997,01/21/2025 22:58:28,0.156
7179,-33.817272,222027,150.962784,01/28/2025 12:44:45,0.041
7179,-33.817272,222027,150.962784,01/28/2025 12:44:45,0.041
7179,-33.817272,222027,150.962784,01/28/2025 12:44:45,0.041
7163,-33.865181,213593,151.171997,11/08/2024 16:56:05,0.392
7163,-33.865181,213593,151.171997,11/08/2024 16:56:05,0.392
7163,-33.865181,213593,151.171997,11/08/2024 16:56:05,0.392
7163,-33.865181,213593,151.171997,11/08/2024 16:56:05,0.392
7168,-33.798195,219440,150.897125,01/01/2025 22:51:21,0.735
7184,-33.772957,219943,151.135391,01/08/2025 23:51:27,0.144
7184,-33.772957,219943,151.135391,01/08/2025 23:51:27,0.144
7179,-33.817272,220200,150.962784,01/11/2025 08:36:55,0.144
7179,-33.817272,220200,150.962784,01/11/2025 08:36:55,0.144
T0085,-33.665455,220680,151.090271,01/15/2025 21:08:43,0.346
T0085,-33.665455,220680,151.090271,01/15/2025 21:08:43,0.346
T0085,-33.665455,220873,151.090271,01/16/2025 21:30:18,0.346
T0085,-33.665455,220873,151.090271,01/16/2025 21:30:18,0.346
7132,-33.953056,221167,151.137482,01/18/2025 11:39:27,0.722
7132,-33.953056,221167,151.137482,01/18/2025 11:39:27,0.722
7132,-33.953056,221167,151.137482,01/18/2025 11:39:27,0.722
7132,-33.953056,221167,151.137482,01/18/2025 11:39:27,0.722
7132,-33.953056,221167,151.137482,01/18/2025 11:39:27,0.722
7132,-33.953056,221167,151.137482,01/18/2025 11:39:27,0.722
7132,-33.953056,221167,151.137482,01/18/2025 11:39:27,0.722
7132,-33.953056,221167,151.137482,01/18/2025 11:39:27,0.722
51235,-33.81551,221723,151.101105,01/24/2025 02:03:22,0.018
51235,-33.81551,221723,151.101105,01/24/2025 02:03:22,0.034
51235,-33.81551,221723,151.101105,01/24/2025 02:03:22,0.034
51235,-33.81551,221723,151.101105,01/24/2025 02:03:22,0.034
51235,-33.81551,221723,151.101105,01/24/2025 02:03:22,0.034
7132,-33.953056,222140,151.137482,01/29/2025 08:40:23,0.729
F3FWY003,-33.560299,222476,151.192551,01/31/2025 16:23:46,0.02
F3FWY003,-33.560299,222476,151.192551,01/31/2025 16:23:46,0.02
F3FWY003,-33.560299,222476,151.192551,01/31/2025 16:23:46,0.02
F3FWY003,-33.560299,222476,151.192551,01/31/2025 16:23:46,0.02
7163,-33.865181,133378,151.171997,08/25/2022 19:03:22,0.673
7163,-33.865181,133378,151.171997,08/25/2022 19:03:22,0.673
7163,-33.865181,133378,151.171997,08/25/2022 19:03:22,0.673
7163,-33.865181,133378,151.171997,08/25/2022 19:03:22,0.673
7163,-33.865181,133378,151.171997,08/25/2022 19:03:22,0.479
7163,-33.865181,133378,151.171997,08/25/2022 19:03:22,0.479
7163,-33.865181,133378,151.171997,08/25/2022 19:03:22,0.479
7163,-33.865181,133378,151.171997,08/25/2022 19:03:22,0.594
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.352
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.352
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.352
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.352
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.352
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.352
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.414
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.414
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.414
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.414
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.414
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.414
7120,-33.886311,219427,151.217911,01/01/2025 15:24:32,0.413
7121,-33.886032,219427,151.218079,01/01/2025 15:24:32,0.385
7120,-33.886311,219427,151.217911,01/01/2025 15:24:32,0.413
7121,-33.886032,219427,151.218079,01/01/2025 15:24:32,0.385
7120,-33.886311,219427,151.217911,01/01/2025 15:24:32,0.413
7121,-33.886032,219427,151.218079,01/01/2025 15:24:32,0.385
7120,-33.886311,219427,151.217911,01/01/2025 15:24:32,0.413
7121,-33.886032,219427,151.218079,01/01/2025 15:24:32,0.385
7120,-33.886311,219427,151.217911,01/01/2025 15:24:32,0.413
7121,-33.886032,219427,151.218079,01/01/2025 15:24:32,0.385
7248,-33.906151,219833,151.040207,01/07/2025 18:36:37,0.237
7248,-33.906151,219833,151.040207,01/07/2025 18:36:37,0.237
9827,-33.719955,219844,151.298111,01/08/2025 05:00:20,0.154
9827,-33.719955,219844,151.298111,01/08/2025 05:00:20,0.154
51235,-33.81551,220287,151.101105,01/13/2025 00:29:00,0.765
51235,-33.81551,220287,151.101105,01/13/2025 00:29:00,0.765
7251,-33.874916,221180,151.155319,01/18/2025 12:44:12,0.225
7251,-33.874916,221180,151.155319,01/18/2025 12:44:12,0.225
7251,-33.874916,221180,151.155319,01/18/2025 12:44:12,0.225
7251,-33.874916,221180,151.155319,01/18/2025 12:44:12,0.225
7251,-33.874916,221180,151.155319,01/18/2025 12:44:12,0.225
7251,-33.874916,221180,151.155319,01/18/2025 12:44:12,0.225
29005,-33.824696,221414,151.093216,01/21/2025 06:36:35,0.224
29005,-33.824696,221414,151.093216,01/21/2025 06:36:35,0.246
23067,-33.934475,221498,151.15831,01/21/2025 16:55:07,0.214
10011,-33.876652,222066,151.230606,01/28/2025 16:38:37,0.105
7139,-33.876884,222066,151.228683,01/28/2025 16:38:37,0.075
10011,-33.876652,222066,151.230606,01/28/2025 16:38:37,0.105
7139,-33.876884,222066,151.228683,01/28/2025 16:38:37,0.075
10011,-33.876652,222066,151.230606,01/28/2025 16:38:37,0.105
7139,-33.876884,222066,151.228683,01/28/2025 16:38:37,0.075
10011,-33.876652,222066,151.230606,01/28/2025 16:38:37,0.105
7139,-33.876884,222066,151.228683,01/28/2025 16:38:37,0.075
33014,-33.806141,222370,151.17952,01/31/2025 07:29:35,0.749
53003,-33.729225,107449,151.122208,12/16/2021 05:25:23,0.769
53003,-33.729225,107449,151.122208,12/16/2021 05:25:23,0.769
53003,-33.729225,107449,151.122208,12/16/2021 05:25:23,0.769
53003,-33.729225,107449,151.122208,12/16/2021 05:25:23,0.769
9836-PR,-33.819687,219653,151.117416,01/06/2025 12:27:21,0.085
9836-PR,-33.819687,219653,151.117416,01/06/2025 12:27:21,0.085
9836-PR,-33.819687,219653,151.117416,01/06/2025 12:27:21,0.085
9836-PR,-33.819687,219653,151.117416,01/06/2025 12:27:21,0.085
9836-PR,-33.819687,219653,151.117416,01/06/2025 12:27:21,0.058
9836-PR,-33.819687,219653,151.117416,01/06/2025 12:27:21,0.058
7119-PR,-33.817974,220419,150.981827,01/14/2025 06:46:14,0.007
7119-PR,-33.817974,220419,150.981827,01/14/2025 06:46:14,0.007
7119-PR,-33.817974,220419,150.981827,01/14/2025 06:46:14,0.007
7119-PR,-33.817974,220429,150.981827,01/14/2025 08:44:09,0.37
7119-PR,-33.817974,220429,150.981827,01/14/2025 08:44:09,0.37
7119-PR,-33.817974,220429,150.981827,01/14/2025 08:44:09,0.37
7119-PR,-33.817974,220429,150.981827,01/14/2025 08:44:09,0.37
7119-PR,-33.817974,220429,150.981827,01/14/2025 08:44:09,0.37
53003,-33.729225,220582,151.122208,01/15/2025 10:08:56,0.172
7184,-33.772957,220763,151.135391,01/16/2025 10:22:43,0.289
7184,-33.772957,220763,151.135391,01/16/2025 10:22:43,0.289
7184,-33.772957,220763,151.135391,01/16/2025 10:22:43,0.289
47024,-33.83889,221135,151.029022,01/18/2025 08:35:20,0.072
47024,-33.83889,221135,151.029022,01/18/2025 08:35:20,0.072
7126,-34.035271,221501,151.113007,01/21/2025 17:58:50,0.75
7126,-34.035271,221501,151.113007,01/21/2025 17:58:50,0.75
7126,-34.035271,221501,151.113007,01/21/2025 17:58:50,0.75
7248,-33.906151,221798,151.040207,01/24/2025 15:56:55,0.063
7248,-33.906151,221798,151.040207,01/24/2025 15:56:55,0.063
F3FWY003,-33.560299,221823,151.192551,01/24/2025 20:27:24,0.197
F3FWY003,-33.560299,221823,151.192551,01/24/2025 20:27:24,0.197
33014,-33.806141,222011,151.17952,01/28/2025 11:22:54,0.622
7132,-33.953056,199066,151.137482,06/19/2024 10:25:09,0.114
7132,-33.953056,199066,151.137482,06/19/2024 10:25:09,0.114
7132,-33.953056,199066,151.137482,06/19/2024 10:25:09,0.114
7164,-33.81562,219630,150.969238,01/06/2025 08:33:50,0.27
7164,-33.81562,219630,150.969238,01/06/2025 08:33:50,0.27
68025,-33.816696,219630,150.976623,01/06/2025 08:33:50,0.376
68025,-33.816696,219630,150.976623,01/06/2025 08:33:50,0.376
7179,-33.817272,219630,150.962784,01/06/2025 08:33:50,0.574
7179,-33.817272,219630,150.962784,01/06/2025 08:33:50,0.691
7112,-33.843338,219783,151.043411,01/07/2025 12:22:52,0.764
7112,-33.843338,219783,151.043411,01/07/2025 12:22:52,0.764
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
10011,-33.876652,219957,151.230606,01/09/2025 06:14:47,0.203
7139,-33.876884,219957,151.228683,01/09/2025 06:14:47,0.024
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
7126,-34.035271,220319,151.113007,01/13/2025 11:01:02,0.7
7251,-33.874916,220679,151.155319,01/15/2025 21:06:35,0.073
7274,-33.779202,222334,150.814102,01/30/2025 17:15:36,0.024
7274,-33.779202,222334,150.814102,01/30/2025 17:15:36,0.024
7132,-33.953056,199066,151.137482,06/19/2024 10:25:09,0.114
7112,-33.843338,218451,151.043411,12/17/2024 23:08:41,0.211
F3FWY003,-33.560299,219585,151.192551,01/04/2025 17:22:19,0.238
7184,-33.772957,219914,151.135391,01/08/2025 15:50:20,0.284
7126,-34.035271,220298,151.113007,01/13/2025 07:48:22,0.739
7132,-33.953056,220993,151.137482,01/17/2025 15:54:36,0.021
7132,-33.953056,220993,151.137482,01/17/2025 15:54:36,0.207
7132,-33.953056,220993,151.137482,01/17/2025 15:54:36,0.453
F3FWY001,-33.694206,221020,151.121323,01/17/2025 17:14:14,0.075
7132,-33.953056,220993,151.137482,01/17/2025 15:54:36,0.259
7153,-33.8651123046875,221287,151.041610717773,01/19/2025 18:16:46,0.14
7153,-33.8651123046875,221287,151.041610717773,01/19/2025 18:16:46,0.474
7153,-33.8651123046875,221287,151.041610717773,01/19/2025 18:16:46,0.474
7251,-33.874916,221343,151.155319,01/20/2025 12:12:53,0.697
7251,-33.874916,221343,151.155319,01/20/2025 12:12:53,0.697
51235,-33.81551,221452,151.101105,01/21/2025 12:05:55,0.268
51235,-33.81551,221452,151.101105,01/21/2025 12:05:55,0.268
F3FWY004,-33.496265,221662,151.187408,01/23/2025 11:45:05,0.088
51235,-33.81551,222498,151.101105,01/31/2025 19:26:51,0.829
51235,-33.81551,222498,151.101105,01/31/2025 19:26:51,0.829
7251,-33.874916,219692,151.155319,01/06/2025 15:47:37,0.554
50240,-33.796436,219811,150.987595,01/07/2025 15:46:27,0.372
T0231,-33.838615,220876,151.143753,01/17/2025 00:43:09,0.065
T0231,-33.838615,220876,151.143753,01/17/2025 00:43:09,0.065
T0231,-33.838615,220876,151.143753,01/17/2025 00:43:09,0.065
T0231,-33.838615,220876,151.143753,01/17/2025 00:43:09,0.065
7153,-33.8651123046875,221731,151.041610717773,01/24/2025 06:24:23,0.016
7153,-33.8651123046875,221731,151.041610717773,01/24/2025 06:24:23,0.016
7153,-33.8651123046875,221731,151.041610717773,01/24/2025 06:24:23,0.016
7153,-33.8651123046875,221731,151.041610717773,01/24/2025 06:24:23,0.016
7153,-33.8651123046875,221731,151.041610717773,01/24/2025 06:24:23,0.016
7153,-33.8651123046875,221731,151.041610717773,01/24/2025 06:24:23,0.016
7153,-33.8651123046875,221731,151.041610717773,01/24/2025 06:24:23,0.016
23067,-33.934475,221794,151.15831,01/24/2025 15:37:30,0.253
10011,-33.876652,215415,151.230606,11/26/2024 12:13:44,0.15
7139,-33.876884,215415,151.228683,11/26/2024 12:13:44,0.328
10011,-33.876652,215415,151.230606,11/26/2024 12:13:44,0.15
7139,-33.876884,215415,151.228683,11/26/2024 12:13:44,0.328
10011,-33.876652,215415,151.230606,11/26/2024 12:13:44,0.15
7139,-33.876884,215415,151.228683,11/26/2024 12:13:44,0.328
10011,-33.876652,215415,151.230606,11/26/2024 12:13:44,0.15
7139,-33.876884,215415,151.228683,11/26/2024 12:13:44,0.328
F3FWY003,-33.560299,219562,151.192551,01/04/2025 11:15:01,0.59
F3FWY003,-33.560299,219562,151.192551,01/04/2025 11:15:01,0.59
7163,-33.865181,219668,151.171997,01/06/2025 14:02:34,0.369
7120,-33.886311,219932,151.217911,01/08/2025 21:27:35,0.631
7121,-33.886032,219932,151.218079,01/08/2025 21:27:35,0.603
7120,-33.886311,219932,151.217911,01/08/2025 21:27:35,0.631
7121,-33.886032,219932,151.218079,01/08/2025 21:27:35,0.603
68025,-33.816696,220005,150.976623,01/09/2025 12:26:05,0.695
68025,-33.816696,220005,150.976623,01/09/2025 12:26:05,0.695
7248,-33.906151,220664,151.040207,01/15/2025 19:14:57,0.031
53004,-33.75317,221277,151.151077,01/19/2025 14:36:32,0.414
7112,-33.843338,221291,151.043411,01/19/2025 20:09:22,0.13
7163,-33.865181,100572,151.171997,09/18/2021 09:34:53,0.362
7163,-33.865181,100572,151.171997,09/18/2021 09:34:53,0.246
7163,-33.865181,100572,151.171997,09/18/2021 09:34:53,0.246
7163,-33.865181,100572,151.171997,09/18/2021 09:34:53,0.246
7163,-33.865181,100572,151.171997,09/18/2021 09:34:53,0.246
7112,-33.843338,201798,151.043411,07/15/2024 15:38:25,0.032
7112,-33.843338,201798,151.043411,07/15/2024 15:38:25,0.032
7112,-33.843338,201798,151.043411,07/15/2024 15:38:25,0.032
7112,-33.843338,201798,151.043411,07/15/2024 15:38:25,0.032
22001,-33.825577,219613,151.233261,01/05/2025 16:25:33,0.497
F3FWY003,-33.560299,219650,151.192551,01/06/2025 11:55:57,0.699
F3FWY003,-33.560299,219650,151.192551,01/06/2025 11:55:57,0.699
F3FWY003,-33.560299,219650,151.192551,01/06/2025 11:55:57,0.699
F3FWY003,-33.560299,219650,151.192551,01/06/2025 11:55:57,0.699
7126,-34.035271,220170,151.113007,01/10/2025 19:42:47,0.709
7126,-34.035271,220170,151.113007,01/10/2025 19:42:47,0.709
33014,-33.806141,218227,151.17952,12/16/2024 13:19:35,0.424
33014,-33.806141,218227,151.17952,12/16/2024 13:19:35,0.424
50260,-33.819763,220247,151.05188,01/12/2025 08:15:56,0.176
7126,-34.035271,220297,151.113007,01/13/2025 07:33:43,0.691
7126,-34.035271,220297,151.113007,01/13/2025 07:33:43,0.691
